project,status,parent,operator,output,reserves,coal_type,coal_grade,type,workforce,country,region,url,lat,lng
Yitian Coal Mine,operating,Lu'an Chemical Group,Shanxi Lu'an Group Pu County Yitian Coal Industry Company,1.2,53,bituminous,met,underground,705,China,Asia,https://www.gem.wiki/Heilong_Coal_Mine,36.276675,111.286253
Yixin Coal Mine,operating,Heilongjiang Longmay Mining Holding Group,Hegang Branch of Heilongjiang Longmei Mining Group,1.3,225,bituminous,met,underground,1396,China,Asia,https://www.gem.wiki/Yixin_Coal_Mine,47.333403,130.316414
Yixing Coal Mine,operating,Shanxi Coking Coal Group,Shanxi Fenxi Yixing Coal Industry Company,1.8,15,bituminous,met,underground,1342,China,Asia,https://www.gem.wiki/Yixing_Coal_Mine,37.008872,111.663773
Yiyuan Coal Mine,operating,Lu'an Chemical Group,Shanxi Lu'an Group Heshun Yiyuan Coal Industry Company,1.8,21,anthracite,thermal_and_met,underground,1012,China,Asia,https://www.gem.wiki/Yiyuan_Coal_Mine,37.321453,113.531335
Yongdingzhuang Coal Mine,operating,Jinneng Group,Datong Coal Mining Group Yongdingzhuang Coal Industry,2,4,bituminous,thermal_and_met,underground,3382,China,Asia,https://www.gem.wiki/Yongdingzhuang_Coal_Mine,40.013149,113.103115
Yonghong Coal Mine,operating,Xiuling Company,Qinhe Energy Group Yonghong Coal Mine,1.2,45,anthracite,thermal,underground,1155,China,Asia,https://www.gem.wiki/Yonghong_Coal_Mine,35.57007,112.511273
Yongli Coal Mine,mothballed,Guizhou Oasis Hongcheng Energy Investment Company,Guizhou Oasis Hongcheng Energy Investment Company,1.8,,bituminous,,underground,,China,Asia,https://www.gem.wiki/Yongli_Coal_Mine,39.465984,110.228282
Yongsheng Coal Mine,operating,Shanxi Lanhua Coal Industry Group,Shanxi Shuozhou Pinglu District Lanhua Yongsheng Coal Industry Company,1.2,57,bituminous,thermal,underground,324,China,Asia,https://www.gem.wiki/Yongsheng_Coal_Mine,39.592717,112.449244
Yongshun Coal Mine,operating,Inner Mongolia Kaiyuan Industrial Group,Ordos Yongshun Coal Company,1.2,30,bituminous,thermal,surface,112,China,Asia,https://www.gem.wiki/Yongshun_Coal_Mine,39.863619,110.042081
Yongzhi Coal Mine,operating,Manshi Investment Group,Jungar Yongzhi Coal Company,1.8,60,bituminous,thermal,underground,328,China,Asia,https://www.gem.wiki/Yongzhi_Coal_Mine,39.68883,110.207892
