project,status,parent,operator,output,reserves,coal_type,coal_grade,type,workforce,country,region,url,lat,lng
Tulunugol-Azeisky Coal Mine,operating,En+ Group,Vostsibugol,2.3,109,lignite,thermal,surface,519,Russia,Europe,https://www.gem.wiki/Azeisky-Tulunugol_coal_mine,54.47333333,100.7019444
Tulunugol-Mugunsky Coal Mine,operating,En+ Group,Vostsibugol,4.2,303,lignite,thermal,surface,648,Russia,Europe,https://www.gem.wiki/Tulunugol-Mugunsky_coal_mine,54.438203,100.189476
Tulunugol-Mugunsky Coal Mine,proposed,En+ Group,Vostsibugol,2.5,37,lignite,thermal,surface,648,Russia,Europe,https://www.gem.wiki/Tulunugol-Mugunsky_coal_mine,54.438203,100.189476
Ugolnaya Coal Mine,operating,OGUP Chukotsnab (51%),Shakhta Ugolnaya JSC,0.12,,lignite,thermal,underground,280,Russia,Europe,https://www.gem.wiki/Ugolnaya_Coal_Mine,64.73602795,177.683072
Ulug-Khem Coal Mine,shelved,SeverstalResource,"Ulughem Ugol,",5.5,807,bituminous,met,underground,,Russia,Europe,https://www.gem.wiki/Ulug-Khem_Coal_Mine,51.6013748,93.9287167
Ulug-Khem Coal Mine,shelved,SeverstalResource,"Ulughem Ugol,",4,,bituminous,met,underground,,Russia,Europe,https://www.gem.wiki/Ulug-Khem_Coal_Mine,51.6013748,93.9287167
Ureisky Coal Mine,operating,Mosstroytrans,Ureisky Razrez,0.12,7,subbituminous,thermal,surface,544,Russia,Europe,https://www.gem.wiki/Ureisky_Coal_Mine,50.65,112.84
Ureisky Coal Mine,proposed,Mosstroytrans,Ureisky Razrez,0.5,,subbituminous,thermal,surface,544,Russia,Europe,https://www.gem.wiki/Ureisky_Coal_Mine,50.65,112.84
Urtuysky Coal Mine,operating,Priargunsky Industrial Mining and Chemical Association (PIMCU),Urtuyskoye Mine Management,2.9,35,lignite,thermal,surface,367,Russia,Europe,https://www.gem.wiki/Urtuysky_coal_mine,50.174699,118.005352
Usinsk-1 Coal Mine,cancelled,Russkaya Energiya,Vorkutaugol,4,621,bituminous,met,underground,,Russia,Europe,https://www.gem.wiki/Usinsk-1_coal_mine,67.5027536,63.9918311
Usinsky-3 Coal Mine,cancelled,NLMK Group,NLMK,2.7,227,bituminous,met,underground,,Russia,Europe,https://www.gem.wiki/Usinsky-3_coal_mine,67.136061,63.391937
Uskovskaya Coal Mine,operating,Evraz,Raspadskaya Coal Company,2.84,183,bituminous,met,underground,840,Russia,Europe,https://www.gem.wiki/Uskovskaya_coal_mine,54.12389,87.295827
Uvalnaya Coal Mine,operating,Siberian Coal Company JSC,Siberian Coal Company JSC,6.2,,bituminous,met,underground,2000,Russia,Europe,https://www.gem.wiki/Uvalnaya_coal_mine,54.095342,87.560349
V.I. Lenin Underground Coal Mine,operating,Mechel,Southern Kuzbass Coal Company,0.5,49,bituminous,met,underground,922,Russia,Europe,https://www.gem.wiki/V._I._Lenin_(Kemerovo)_coal_mine,53.704709,88.071127
V.I. Lenin Underground Coal Mine,shelved,Mechel,Southern Kuzbass Coal Company,*,,bituminous,,underground,922,Russia,Europe,https://www.gem.wiki/V._I._Lenin_(Kemerovo)_coal_mine,53.704709,88.071127
Verkhneteshsky Coal Mine,proposed,AProperty,ElgaSibanthracite,5,79,bituminous,,surface,,Russia,Europe,https://www.gem.wiki/Verkhneteshsky_coal_mine,53.505201,87.529449
Vinogradovsky Coal Mine,operating,Kilton Overseas Limited (52%),Razrez Vinogradovsky,4.55,119,subbituminous,thermal,surface,488,Russia,Europe,https://www.gem.wiki/Vinogradovsky_coal_mine,54.395251,86.80933
Vorgashorskaya Coal Mine,operating,Russkaya Energiya,Vorkutaugol,4.17,,bituminous,met,underground,641,Russia,Europe,https://www.gem.wiki/Vorgashorskaya_mine,67.5953177,63.6160208
Vorkutinskaya Coal Mine,operating,Russkaya Energiya,Vorkutaugol,2.123,40,bituminous,met,underground,579,Russia,Europe,https://www.gem.wiki/Vorkutinskaya_coal_mine,67.525242,64.021282
Vostochno-Beisky Coal Mine,operating,Siberian Coal Energy Company (SUEK),SUEK Khakassiya,3.113,123,subbituminous,thermal,surface,400,Russia,Europe,https://www.gem.wiki/Vostochno-Beisky_coal_mine,53.30865,91.380636
Vostochny (Salek) Coal Mine,operating,Siberian Business UnionCoal (SBU),Salek CJSC,2.095,,bituminous,thermal,surface,712,Russia,Europe,https://www.gem.wiki/Vostochny_coal_mine_(Salek),54.187151,87.039185
Vostochny Coal Mine,operating,AProperty,ElgaSibanthracite,5.683,,anthracite,met,surface,506,Russia,Europe,https://www.gem.wiki/Vostochny_coal_mine,54.64694,83.627027
Vostochny Coal Mine,proposed,AProperty,ElgaSibanthracite,4,,anthracite,met,surface,506,Russia,Europe,https://www.gem.wiki/Vostochny_coal_mine,54.64694,83.627027
Vostochny Coal Mine,operating,Siberian Coal Energy Company (SUEK),Chitaugol,1.5,151,lignite,thermal,surface,506,Russia,Europe,https://www.gem.wiki/Chitaugol_Vostochny_coal_mine,51.6322479,113.0312485
Vostokugol-Dikson Coal Mine,proposed,AEON,VostokugolDikson,19,69,anthracite,,surface,,Russia,Europe,https://www.gem.wiki/VostokUgol-Dikson_Coal_Mine,73.5072265,80.5350454
Yalevsky Coal Mine,operating,Siberian Coal Energy Company (SUEK),SUEKKuzbass,8,419,bituminous,thermal,underground,1420,Russia,Europe,https://www.gem.wiki/Yalevsky_coal_mine,54.221147,86.957648
Yerunakovskaya-8 Coal Mine,operating,Evraz,Raspadskaya Coal Company,2.3,113,bituminous,met,underground,856,Russia,Europe,https://www.gem.wiki/Yerunakovskaya_coal_mine,54.122082,87.355248
Yesaulskaya Coal Mine,operating,Evraz,Raspadskaya Coal Company,2.532,8,bituminous,met,underground,991,Russia,Europe,https://www.gem.wiki/Yesaulskaya_coal_mine,53.916573,87.509022
Yevtinsky Perspektivny Coal Mine,operating,EkoCarbonInvest,Belovskaya Mine CJSC,2.3,63,subbituminous,thermal,surface,795,Russia,Europe,https://www.gem.wiki/Yevtinsky_Perspektivny_coal_mine,54.344454,86.829556
Yubileynaya Coal Mine,operating,TopProm,TopProm,2,54,bituminous,met,underground,767,Russia,Europe,https://www.gem.wiki/Yubileynaya_coal_mine,53.862145,87.332382
Yunyaginsky Coal Mine,operating,Russkaya Energiya,Vorkutaugol,0.28,,bituminous,met,surface,467,Russia,Europe,https://www.gem.wiki/Yunyaginsky_coal_mine,67.518285,64.404087
Yuzhnaya Coal Mine,mothballed,Siberian Business UnionCoal (SBU),SDS UGOL,2.162,94,bituminous,thermal_and_met,underground,206,Russia,Europe,https://www.gem.wiki/Yuzhnaya_coal_mine,55.60060447,86.09720437
Zadubrovsky Novy Coal Mine,operating,Private individuals,Zadubrovsky Novy,1.1,,subbituminous,thermal,surface,803,Russia,Europe,https://www.gem.wiki/Zadubrovsky_Novy_coal_mine,54.46493046,86.76792562
Zagustaisky Coal Mine,operating,VostochnoSibirskaya Gornaya Company,VostochnoSibirskaya Gornaya Company,0.4,,lignite,thermal,surface,558,Russia,Europe,https://www.gem.wiki/Zagustaisky_coal_mine,51.31684874,106.5551836
Zapolyarnaya Coal Mine,operating,Russkaya Energiya,Vorkutaugol,2.027,51,bituminous,met,underground,599,Russia,Europe,https://www.gem.wiki/Zapolyarnaya_coal_mine,67.484686,63.766193
Zarechnaya Coal Mine,operating,Sila Sibiri,Shakhta Zarechnaya,1.2,,bituminous,,underground,1101,Russia,Europe,https://www.gem.wiki/Zarechnaya_coal_mine,54.59181261,86.24865222
Zarechny Coal Mine,operating,Siberian Coal Energy Company (SUEK),SUEKKuzbass,6,110,bituminous,thermal,surface,812,Russia,Europe,https://www.gem.wiki/Zarechny_coal_mine,54.152181,87.122784
Zashulansky Coal Mine,proposed,"En+ Group (50%), China Energy (50%)",Razrezugol,1,250,bituminous,thermal,surface,,Russia,Europe,https://www.gem.wiki/Zashulansky_coal_mine,50.515719,109.91581
Zashulansky Coal Mine,proposed,"En+ Group (50%), China Energy (50%)",Razrezugol,4,,bituminous,thermal,surface,,Russia,Europe,https://www.gem.wiki/Zashulansky_coal_mine,50.515719,109.91581
Zheronsky-Vereinsky Coal Mine,operating,En+ Group,Vostsibugol,0.7,26,subbituminous,thermal,surface,300,Russia,Europe,https://www.gem.wiki/Zheronsky-Vereinsky_coal_mine,58.214493,102.913399
Ziryansky Coal Mine,operating,Ziryansky Coal Mine JSC,Ziryansky Coal Mine Company,0.16,,bituminous,thermal,surface,554,Russia,Europe,https://www.gem.wiki/Ziryansky_coal_mine,65.75233074,149.7665559
Aleksinac Coal Mine,closed,Resavica,RGP Aleksinac,0,,subbituminous,thermal,underground,268,Serbia,Europe,https://www.gem.wiki/Aleksinac_Coal_Mine,43.561279,21.69183
Bogovina Coal Mine,closed,Resavica,RMU Bogovina,0.011,,subbituminous,thermal,underground,255,Serbia,Europe,https://www.gem.wiki/Bogovina_Coal_Mine,43.892296,21.947353
Drmno Coal Mine,operating,Elektroprivreda Srbije (EPS),OPM Kostolac,9.4,350,lignite,thermal,surface,2162,Serbia,Europe,https://www.gem.wiki/Drmno_mine,44.721613,21.245742
Drmno Coal Mine,proposed,"Elektroprivreda Srbije (EPS) (20%), Exim Bank of China (80%)",OPM Kostolac,3,,lignite,thermal,surface,,Serbia,Europe,https://www.gem.wiki/Drmno_mine,44.721613,21.245742
Ibarski Rudnici Coal Mine,operating,Resavica,RKU Ibarski Rudnici,0.069,1,bituminous,thermal,underground,486,Serbia,Europe,https://www.gem.wiki/Ibarski_Rudnici_Coal_Mine,43.396476,20.637944
Jasenovac Coal Mine,operating,Resavica,RMU Jasenovac,0.033,0,subbituminous,thermal,underground,263,Serbia,Europe,https://www.gem.wiki/Jasenovac_Coal_Mine,44.202459,21.572037
Kolubara B Coal Mine,operating,Elektroprivreda Srbije (EPS),RB Kolubara,5.8,,lignite,thermal,surface,1268,Serbia,Europe,https://www.gem.wiki/Kolubara_Mine_Complex,44.407304,20.36354
Kolubara D & E Coal Mine,operating,Elektroprivreda Srbije (EPS),RB Kolubara,3.6,400,lignite,thermal,surface,2624,Serbia,Europe,https://www.gem.wiki/Kolubara_Mine_Complex,44.418099,20.338872
Kolubara G Coal Mine,operating,Elektroprivreda Srbije (EPS),RB Kolubara,5.2,,lignite,thermal,surface,886,Serbia,Europe,https://www.gem.wiki/Kolubara_Mine_Complex,44.407304,20.36354
Lubnica Coal Mine,operating,Resavica,RL Lubnica,0.048,10,lignite,thermal,underground,342,Serbia,Europe,https://www.gem.wiki/Lubnica_Coal_Mine,43.856739,22.16629
Poljana Coal Mine,proposed,Resavica,Resavica,0.7,,subbituminous,thermal,underground,,Serbia,Europe,https://www.gem.wiki/Poljana_Coal_Mine,44.582689,21.186619
Radljevo Coal Mine,operating,Elektroprivreda Srbije (EPS),RB Kolubara,0,350,lignite,thermal,surface,1203,Serbia,Europe,https://www.gem.wiki/Kolubara_Mine_Complex,44.469556,20.202522
Rembas Coal Mine,operating,Resavica,RMU Rembas,0.169,7,subbituminous,thermal,underground,1172,Serbia,Europe,https://www.gem.wiki/Rembas_Coal_Mine,44.040843,21.580206
Soko Coal Mine,operating,Resavica,RMU Soko,0.08,,subbituminous,thermal,underground,539,Serbia,Europe,https://www.gem.wiki/Soko_Coal_Mine,43.63458,22.00681
Stavalj Coal Mine,operating,Resavica,RMU Staval,0.085,187,subbituminous,thermal,underground,460,Serbia,Europe,https://www.gem.wiki/%C5%A0tavalj_Coal_Mine,43.27130465,20.12895562
Stavalj Coal Mine,proposed,Resavica,RMU Staval,2.3,,subbituminous,thermal,underground,,Serbia,Europe,https://www.gem.wiki/%C5%A0tavalj_Coal_Mine,43.27130465,20.12895562
Tamnava-West Coal Mine,operating,Elektroprivreda Srbije (EPS),RB Kolubara,11.9,2100,lignite,thermal,surface,10169,Serbia,Europe,https://www.gem.wiki/Kolubara_Mine_Complex,44.473607,20.222826
Vrska Cuka Coal Mine,closed,Resavica,RA Vrska Cuka,0.005,2,anthracite,thermal,underground,125,Serbia,Europe,https://www.gem.wiki/Vrska_Cuka_Coal_Mine,43.838237,22.322493
Handlová Coal Mine,closed,Hornonitrianske Bane Zamestnanecká AS,Hornonitrianske bane Prievidza (HBP),0,,lignite,thermal,underground,,Slovakia,Europe,https://www.gem.wiki/Handlová_coal_mine,48.7249006,18.7516043
Holíč Coal Mine,mothballed,Hornonitrianske Bane Zamestnanecká AS,Bana Cary Company,0.17,,lignite,thermal,underground,,Slovakia,Europe,https://www.gem.wiki/Hol%C3%ADč_Coal_Mine,48.65957421,17.07550129
Nováky Coal Mine,operating,Hornonitrianske Bane Zamestnanecká AS,Hornonitrianske bane Prievidza (HBP),0.96,4,lignite,thermal,underground,3000,Slovakia,Europe,https://www.gem.wiki/Nov%C3%A1ky_coal_mine,48.7157985,18.5562856
Velenje Coal Mine,operating,Premogovnik Velenje,Premogovnik Velenje,3.1,358,lignite,thermal,underground,1640,Slovenia,Europe,https://www.gem.wiki/Velenje_mine,46.368919,15.077637
Alexander Coal Project,proposed,Sasol,Sasol Mining,8,,bituminous,,surface,,South Africa,Africa,https://www.gem.wiki/Alexander_Coal_Project,-26.312146,29.352647
Argent Colliery,shelved,Puckree Group,Puckree Group,1.2,,subbituminous,thermal,surface,,South Africa,Africa,https://www.gem.wiki/Argent_colliery,-25.98333,29.43333
Arnot Coal Mine,operating,Salungano Group,Salungano Group,*,,bituminous,thermal,underground_and_surface,437,South Africa,Africa,https://www.gem.wiki/Arnot_coal_mine,-25.9348458,29.7747599
Arnot South,proposed,"TerraCom (50%), Others (50%)",TerraCom,*,,subbituminous,thermal,surface,,South Africa,Africa,https://www.gem.wiki/Arnot_South_coal_project,-26.38457657,29.6704259
Aviemore Colliery,operating,Buffalo Coal,Zinoju Coal,0.4,1,anthracite,met,underground,395,South Africa,Africa,https://www.gem.wiki/Aviemore_coal_mine,-28.09077222,30.2379246
Aviemore Colliery,proposed,Buffalo Coal,Zinoju Coal,*,,anthracite,met,underground,395,South Africa,Africa,https://www.gem.wiki/Aviemore_coal_mine,-28.09077222,30.2379246
Aviemore Colliery,proposed,Buffalo Coal,Zinoju Coal,*,,anthracite,met,underground,395,South Africa,Africa,https://www.gem.wiki/Aviemore_coal_mine,-28.09077222,30.2379246
Belfast Coal Mine,operating,Exxaro,Exxaro Coal,2.7,40,subbituminous,thermal,surface,385,South Africa,Africa,https://www.gem.wiki/Belfast_coal_mine,-25.834028,29.987778
Belfast Coal Mine,proposed,Exxaro,Exxaro Coal,*,80,subbituminous,thermal,underground_and_surface,385,South Africa,Africa,https://www.gem.wiki/Belfast_coal_mine,-25.834028,29.987778
Berenice-Cygnus Coal Mine,proposed,"TerraCom Resources (50%), Bono Lithihi Investments Group (50%)",TerraCom,10,402,bituminous,thermal_and_met,surface,,South Africa,Africa,https://www.gem.wiki/Berenice-Cygnus_Coal_Mine,-22.9028678,29.4318658
Black Wattle Coal Mine,operating,Bisichi Mining,Black Wattle Colliery,1.04,,bituminous,thermal,underground,410,South Africa,Africa,https://www.gem.wiki/Black_Wattle_coal_mine,-25.83557094,29.45533652
Boikarabelo Coal Mine,shelved,Resource Generation Australia,Resgen South Africa,6,267,bituminous,thermal,surface,,South Africa,Africa,https://www.gem.wiki/Boikarabelo_Coal_Mine,-26,27.545833
Boschkrans Coal Mine,shelved,Puckree Group,Puckree Group,1.2,,subbituminous,thermal,underground_and_surface,,South Africa,Africa,https://www.gem.wiki/Boschkrans_coal_project,-26.3719534,29.7055655
Bosjesspruit Coal Mine,operating,Sasol,Sasol Mining,5.7,97,bituminous,,underground,,South Africa,Africa,https://www.gem.wiki/Bosjesspruit_coal_mine,-26.562832,29.199815
Bultfontein Colliery,operating,Puckree Group,Puckree Group,0.87,,bituminous,,underground,200,South Africa,Africa,https://www.gem.wiki/Bultfontein_coal_mine,-26.1415679,29.4804372
Chelmsford Colliery,operating,Future Coal,Future Coal,0.48,,bituminous,,underground_and_surface,158,South Africa,Africa,https://www.gem.wiki/Chelmsford_coal_mine,-27.902916,29.924397
Chilwavhusiku Colliery,closed,Makole Group,Stefanutti Stocks,2.5,,bituminous,thermal,surface,350,South Africa,Africa,https://www.gem.wiki/Chilwavhusiku_coal_mine,-25.790623,28.799088
Dalyshope Coal Project,proposed,Anglo American,Thungela Resources Limited,10,,bituminous,thermal,surface,,South Africa,Africa,https://www.gem.wiki/Dalyshope_Coal_Project,-23.68516,27.209329
Dama Coal Mine,operating,Thutha Amalahle Transport and Construction Pty Limited,Thutha Amalahle Transport and Construction Pty Limited,0.36,,bituminous,thermal,surface,623,South Africa,Africa,https://www.gem.wiki/Dama_coal_mine,-27.59440875,30.21399601
Davel Coal Project,cancelled,Scinta South Africa,Scinta South Africa,5,61,bituminous,thermal,underground,,South Africa,Africa,https://www.gem.wiki/Davel_coal_project,-26.460572,29.733188
Delmas Colliery,operating,Kuyasa,Delmas Coal,2,56,bituminous,thermal,underground,174,South Africa,Africa,https://www.gem.wiki/Delmas_Colliery_coal_mine,-26.260831,28.827936
Dorstfontein Complex,operating,Overlooked Colliery,Overlooked Colliery,*,54,bituminous,thermal,underground_and_surface,659,South Africa,Africa,https://www.gem.wiki/Dorstfontein_Complex_coal_mine,-26.223494,29.294597
Droogvallei Coal Mine,mothballed,Coastal Fuels,Estrapade,0.12,1,bituminous,thermal,underground_and_surface,,South Africa,Africa,https://www.gem.wiki/Droogvallei_coal_mine,-26.10267826,30.1528895
Eastside Colliery,closed,Eastside Coal Company,Black Gold Coal Estate Limited,0,,bituminous,,surface,,South Africa,Africa,https://www.gem.wiki/Eastside_Colliery,-26.07199634,30.17665875
Elandsfontein Colliery,operating,Anker Holdings,Elandsfontein Colliery Limited,0.6,7,bituminous,thermal,underground_and_surface,200,South Africa,Africa,https://www.gem.wiki/Elandsfontein_Colliery,-25.907458,29.0925901
Elandsfontein Colliery,proposed,Anker Holdings,Elandsfontein Colliery Limited,*,,bituminous,thermal,underground_and_surface,,South Africa,Africa,https://www.gem.wiki/Elandsfontein_Colliery,-25.907458,29.0925901
Elandspruit Colliery,operating,Salungano Group,Wescoal Mining Proprietary Limited,3,9,bituminous,thermal,underground_and_surface,515,South Africa,Africa,https://www.gem.wiki/Elandspruit_Colliery,-25.80982,29.38474
Elders Coal Mine,proposed,Anglo American,Anglo American Inyosi Coal,4.2,51,bituminous,thermal,underground,,South Africa,Africa,https://www.gem.wiki/Elders_Coal_Mine,-26.239016,29.287922
Eloff Coal Project,proposed,"Ndalamo Resources (51%), Universal Coal (49%)",Eloff Mining Company,2.4,41,bituminous,thermal,surface,691,South Africa,Africa,https://www.gem.wiki/Eloff_coal_project,-26.1885802,28.6517105
Exxaro Coal Central Complex,operating,"Overlooked Colliery (50%), Mmakau Mining (50%)",Mmakau Mining,4.2,123,bituminous,thermal,underground_and_surface,1227,South Africa,Africa,https://www.gem.wiki/Exxaro_Coal_Central_(ECC)_Complex,-26.223715,29.298358
Fentonia Coal Mine,operating,Joe Singh Group,Fentonia Colliery,1.38,,bituminous,,surface,509,South Africa,Africa,https://www.gem.wiki/Fentonia_Coal_Mine,-26.17195804,29.45310073
Forzando Complex,operating,Overlooked Colliery,Forzando Coal Mines,*,55,bituminous,,underground,407,South Africa,Africa,https://www.gem.wiki/Forzando_Complex_coal_mine,-26.286869,29.527687
Gila Coal Mine,proposed,Canyon Coal,Canyon Coal,1.8,,bituminous,,underground,,South Africa,Africa,https://www.gem.wiki/Gila_coal_mine,-26.34233,29.509051
Goedehoop Coal Mine,operating,Anglo American,Thungela Operations Proprietary Limited,4.4,18,bituminous,,underground,361,South Africa,Africa,https://www.gem.wiki/Goedehoop_coal_mine,-26.1033988,29.407282
Goedgevonden Coal Mine,operating,"Glencore (74%), African Rainbow Minerals (ARM) (26%)",Goedgevonden Coal,6.4,270,bituminous,thermal,surface,350,South Africa,Africa,https://www.gem.wiki/Goedgevonden_coal_mine,-26.09972,29.07316
Graspan Colliery,mothballed,"Phembani (50%), Glencore (50%)",Izimbiwa Coal,3,,bituminous,thermal,surface,,South Africa,Africa,https://www.gem.wiki/Graspan_Colliery,-25.780846,29.410789
Greater Soutpansberg Coal Project,proposed,"MC Mining (74%), Rothe Investments (26%)",MC Mining,16.4,1051,bituminous,thermal_and_met,surface,,South Africa,Africa,https://www.gem.wiki/Greater_Soutpansberg_Project,-22.881211,29.661589
Greenside Coal Mine,operating,Anglo American,Thungela Operations Proprietary Limited,4.1,25,bituminous,,underground,393,South Africa,Africa,https://www.gem.wiki/Greenside_coal_mine,-25.960979,29.18545
Grootegeluk Coal Mine,operating,Exxaro,Exxaro Coal,26.9,2580,bituminous,thermal_and_met,surface,3200,South Africa,Africa,https://www.gem.wiki/Grootegeluk_coal_mine,-23.657141,27.566687
Gugulethu Coal Project,proposed,Menar,Canyon Coal,3.6,80,subbituminous,thermal,underground_and_surface,430,South Africa,Africa,https://www.gem.wiki/De_Wittekrans_coal_mine,-26.144916,29.739367
Halfgewonnen Colliery,mothballed,Overlooked Colliery Alpha,Overlooked Colliery Alpha,2.16,,bituminous,,underground_and_surface,,South Africa,Africa,https://www.gem.wiki/Halfgewonnen_coal_mine,-26.215424,29.531783
Hendrina Coal Mine,shelved,Glencore,Umcebo,2.4,,bituminous,thermal,underground,,South Africa,Africa,https://www.gem.wiki/Hendrina_coal_project,-26.1981338,29.7230683
Ikoti Coal Mine,operating,Alfieri Holdings,Alfieri Holdings,*,,bituminous,thermal,surface,689,South Africa,Africa,https://www.gem.wiki/Ikoti_coal_mine,-26.2798415,29.924166
Ilima Coal Mine,operating,Pretorius Group of Companies,Ilima Coal Company (Pty) Limited,1.5,,bituminous,thermal,underground_and_surface,428,South Africa,Africa,https://www.gem.wiki/Ilima_Coal_Mine,-26.107445,30.215583
Ilima Coal Mine,proposed,Pretorius Group of Companies,Ilima Coal Company (Pty) Limited,1.5,,bituminous,thermal,underground_and_surface,428,South Africa,Africa,https://www.gem.wiki/Ilima_Coal_Mine,-26.107445,30.215583
Impumelelo Coal Mine,operating,Sasol,Sasol Mining,5.3,,bituminous,thermal,underground,1760,South Africa,Africa,https://www.gem.wiki/Impumelelo_coal_mine,-26.581453,29.145008
Impunzi Complex,operating,"Glencore (79.8%), African Rainbow Minerals (20.2%)",Glencore South Africa,7.7,84,bituminous,thermal,underground_and_surface,545,South Africa,Africa,https://www.gem.wiki/IMpunzi_mine_complex,-26.108683,29.230581
Isibonelo Coal Mine,operating,Anglo American,Thungela Operations Proprietary Limited,4.5,23,bituminous,thermal,surface,515,South Africa,Africa,https://www.gem.wiki/Isibonelo_coal_project,-26.4352762,29.208912
Iyanga Coal Mine Cluster,operating,Beryl Group,Iyanga Mining,6,,bituminous,thermal,surface,1000,South Africa,Africa,https://www.gem.wiki/Iyanga_Mine_Cluster,-26.026458,28.8783183
Kangala Coal Mine,operating,"TerraCom (70.5%), Mountain Rush (29.5%)",TerraCom,1.15,0,bituminous,thermal,surface,71,South Africa,Africa,https://www.gem.wiki/Kangala_Colliery,-26.190762,28.668496
Kangra Coal Mine,operating,Menar Group,Kangra Coal,2,,subbituminous,thermal,underground_and_surface,476,South Africa,Africa,https://www.gem.wiki/Kangra_Coal_Mine,-27.022301,30.414471
Khanye Coal Mine,operating,Canyon Coal,Canyon Coal,2.8,39,bituminous,thermal,surface,407,South Africa,Africa,https://www.gem.wiki/Khanye_coal_mine,-25.77422056,28.7952596
Khanyisa Colliery,operating,Salungano Group,Wescoal Mining,1.1,0,bituminous,thermal,surface,296,South Africa,Africa,https://www.gem.wiki/Khanyisa_coal_mine,-26.039752,28.968455
Khutala Coal Mine,operating,Seriti,Thabong Coal (Pty) Limited,5.5,31,bituminous,thermal,underground_and_surface,3239,South Africa,Africa,https://www.gem.wiki/Khutala_mine,-26.124001,29.003424
Khwezela Coal Mine,operating,Anglo American,Thungela Operations Proprietary Limited,3.5,33,bituminous,thermal,surface,411,South Africa,Africa,https://www.gem.wiki/Khwezela_coal_mine,-25.926243,29.155635
Khwezela Coal Mine,proposed,Anglo American,Thungela Operations Proprietary Limited,4.6,49,bituminous,thermal,surface,411,South Africa,Africa,https://www.gem.wiki/Khwezela_coal_mine,-25.926243,29.155635
Kiepersol Colliery,operating,Jindal Group,Jindal Mining South Africa,0.407,,anthracite,met,underground,800,South Africa,Africa,https://www.gem.wiki/Kiepersol_coal_mine,-27.14095155,30.5535983
Kleinfontein Coal Mine,mothballed,Glencore,Umcebo,1.2,,subbituminous,thermal,underground,,South Africa,Africa,https://www.gem.wiki/Kleinfontein_Coal_Mine,-26.141809,30.042898
Kliprand Colliery,operating,Ikwezi Mining,Ikwezi Mining,0.51,,subbituminous,thermal,surface,394,South Africa,Africa,https://www.gem.wiki/Kliprand_coal_mine,-27.87006902,30.12645014
Klipspruit Coal Mine,operating,Seriti,Thabong Coal (Pty) Limited,6.5,186,bituminous,thermal,underground_and_surface,2480,South Africa,Africa,https://www.gem.wiki/Klipspruit_mine,-25.991333,29.061537
Koornfontein Coal Mine,mothballed,Makole Group,Black Royalty Minerals,3,,bituminous,thermal,underground_and_surface,2000,South Africa,Africa,https://www.gem.wiki/Koornfontein_coal_mine,-26.0999993,29.4245782
Kranspan Coal Project,proposed,Ilima Coal Company,Ilima Coal Company,2.16,25,subbituminous,thermal,underground_and_surface,,South Africa,Africa,https://www.gem.wiki/Kranspan_coal_project,-26.166422,30.015778
Kriel Coal Mine,operating,Seriti,Seriti Resources,9.1,,bituminous,thermal,underground_and_surface,2652,South Africa,Africa,https://www.gem.wiki/Kriel_colliery,-26.225785,29.136045
Leeuwpan Coal Mine,operating,Overlooked Colliery,Overlooked Colliery,3.65,43,bituminous,thermal_and_met,surface,600,South Africa,Africa,https://www.gem.wiki/Leeuwpan_coal_mine,-26.1733493,28.7279975
Leeuwpan Coal Mine,shelved,Overlooked Colliery,Overlooked Colliery,2.7,52,bituminous,thermal,surface,,South Africa,Africa,https://www.gem.wiki/Leeuwpan_coal_mine,-26.1733493,28.7279975
Lefa Coal Mine,proposed,Ergosat Limited,Ergosat Limited,3,,subbituminous,thermal,underground,,South Africa,Africa,https://www.gem.wiki/Lefa_Coal_Mine,-26.84122227,27.99999848
Leslie 1 Coal Mine,cancelled,Anglo American,Thungela Resources Limited,4,125,bituminous,,underground,685,South Africa,Africa,https://www.gem.wiki/Leslie_1_Mining_Project,-26.28792,28.941667
Mafube Colliery,operating,"Exxaro (50%), Thungela Resources Limited (50%)","Mafube Coal Mining, Hlagisa Mining (Wildfontein pit)",5.2,50,bituminous,thermal,surface,402,South Africa,Africa,https://www.gem.wiki/Mafube_coal_mine,-25.7944583,29.7357042
Magdalena Colliery,operating,Buffalo Coal,Zinoju Coal,0.096,,bituminous,thermal,surface,566,South Africa,Africa,https://www.gem.wiki/Magdalena_coal_mine,-27.95985233,30.18051493
Magdalena Colliery,proposed,Buffalo Coal,Zinoju Coal,0.24,,bituminous,thermal,surface,566,South Africa,Africa,https://www.gem.wiki/Magdalena_coal_mine,-27.95985233,30.18051493
Magdalena Colliery,proposed,Buffalo Coal,Zinoju Coal,0.516,,bituminous,thermal,surface,566,South Africa,Africa,https://www.gem.wiki/Magdalena_coal_mine,-27.95985233,30.18051493
Makhado Coal Mine,proposed,"MC Mining (67%), Makhado Colliery Community Development Trust (20%), Others (6%), Industrial Development Corporation (6.7%)",MC Mining,1.6,,bituminous,met,surface,650,South Africa,Africa,https://www.gem.wiki/Makhado_coal_mine,-22.7999984,29.9141726
Makhado Coal Mine,proposed,"MC Mining (67%), Makhado Colliery Community Development Trust (20%), Others (6%), Industrial Development Corporation (6.7%)",MC Mining,1.1,188,bituminous,thermal_and_met,surface,,South Africa,Africa,https://www.gem.wiki/Makhado_coal_mine,-22.7999984,29.9141726
